run_id,seed,dilemma_type,network_type,N,avg_degree,T,alpha,theta,beta,beneficiary_rule,init_frac_coop,converged,iters_to_conv,final_frac_coop
prisoners_HRG_T1.20_a0.00_s3,3,prisoners,HRG,1000,4.0,1.2,0.0,1.0,1.0,nearest,0.5,False,10000,0.138
prisoners_HRG_T1.20_a0.00_s4,4,prisoners,HRG,1000,3.998,1.2,0.0,1.0,1.0,random,0.5,False,10000,0.126
prisoners_HRG_T1.20_a0.00_s4,4,prisoners,HRG,1000,3.998,1.2,0.0,1.0,1.0,nearest,0.5,False,10000,0.126
prisoners_HRG_T1.20_a0.30_s0,0,prisoners,HRG,1000,3.998,1.2,0.3,1.0,1.0,random,0.5,False,10000,0.186
prisoners_HRG_T1.20_a0.30_s0,0,prisoners,HRG,1000,3.998,1.2,0.3,1.0,1.0,nearest,0.5,False,10000,0.191
prisoners_HRG_T1.20_a0.30_s1,1,prisoners,HRG,1000,3.998,1.2,0.3,1.0,1.0,random,0.5,False,10000,0.179
prisoners_HRG_T1.20_a0.30_s1,1,prisoners,HRG,1000,3.998,1.2,0.3,1.0,1.0,nearest,0.5,False,10000,0.213
prisoners_HRG_T1.20_a0.30_s2,2,prisoners,HRG,1000,4.0,1.2,0.3,1.0,1.0,random,0.5,False,10000,0.16
prisoners_HRG_T1.20_a0.30_s2,2,prisoners,HRG,1000,4.0,1.2,0.3,1.0,1.0,nearest,0.5,False,10000,0.227
prisoners_HRG_T1.20_a0.30_s3,3,prisoners,HRG,1000,4.0,1.2,0.3,1.0,1.0,random,0.5,False,10000,0.148
prisoners_HRG_T1.20_a0.30_s3,3,prisoners,HRG,1000,4.0,1.2,0.3,1.0,1.0,nearest,0.5,False,10000,0.209
prisoners_HRG_T1.20_a0.30_s4,4,prisoners,HRG,1000,3.998,1.2,0.3,1.0,1.0,random,0.5,False,10000,0.216
prisoners_HRG_T1.20_a0.30_s4,4,prisoners,HRG,1000,3.998,1.2,0.3,1.0,1.0,nearest,0.5,False,10000,0.185
